Red,Green,Blue
0.565,0.261,0.174
0.585,0.231,0.185
0.587,0.222,0.190
0.600,0.215,0.185
0.619,0.206,0.175
0.606,0.212,0.182
0.606,0.212,0.182
0.612,0.209,0.179
0.618,0.206,0.176
0.612,0.209,0.179
0.606,0.212,0.182
0.600,0.215,0.185
0.607,0.213,0.180
0.603,0.207,0.190
0.603,0.207,0.190
0.607,0.213,0.180
0.610,0.203,0.186
0.603,0.207,0.190
0.603,0.207,0.190
0.600,0.217,0.183
0.593,0.220,0.186
0.596,0.211,0.193
0.586,0.207,0.207
0.583,0.217,0.200
0.574,0.230,0.197
0.574,0.230,0.197
0.578,0.234,0.187
0.574,0.235,0.191
0.569,0.250,0.181
0.569,0.250,0.181
0.563,0.254,0.183
0.575,0.247,0.178
0.563,0.254,0.183
0.575,0.247,0.178
0.571,0.243,0.186
0.569,0.250,0.181
0.562,0.247,0.192
0.571,0.243,0.186
0.576,0.227,0.197
0.567,0.239,0.194
0.574,0.235,0.191
0.574,0.235,0.191
0.580,0.246,0.174
0.580,0.246,0.174
0.582,0.239,0.179
0.586,0.229,0.186
0.580,0.232,0.188
0.587,0.222,0.190
0.600,0.217,0.183
0.600,0.217,0.183
0.603,0.206,0.190
0.600,0.215,0.185
0.597,0.209,0.194
0.609,0.203,0.187
0.603,0.206,0.191
0.609,0.203,0.188
0.594,0.217,0.188
0.606,0.211,0.183
0.609,0.203,0.188
0.609,0.203,0.188
0.612,0.209,0.179
0.600,0.214,0.186
0.606,0.212,0.182
0.600,0.215,0.185
0.600,0.215,0.185
0.594,0.219,0.187
0.591,0.227,0.182
0.600,0.215,0.185
0.594,0.217,0.188
0.600,0.214,0.186
0.609,0.203,0.188
0.603,0.206,0.191
0.609,0.203,0.188
0.600,0.215,0.185
0.600,0.217,0.183
0.578,0.234,0.187
0.578,0.234,0.187
0.557,0.257,0.186
0.559,0.265,0.176
0.563,0.254,0.183
0.566,0.250,0.184
0.575,0.250,0.175
0.580,0.247,0.173
0.592,0.225,0.183
0.603,0.206,0.190
0.594,0.217,0.188
0.586,0.229,0.186
0.573,0.253,0.173
0.563,0.254,0.183
0.557,0.257,0.186
0.557,0.257,0.186
0.570,0.253,0.177
0.575,0.250,0.175
0.577,0.244,0.179
0.586,0.229,0.186
0.586,0.229,0.186
0.597,0.210,0.194
0.597,0.210,0.194
0.600,0.217,0.183
0.600,0.217,0.183
0.593,0.220,0.186
0.600,0.217,0.183
0.587,0.222,0.190
0.607,0.213,0.180
0.587,0.222,0.190
0.597,0.210,0.194
0.594,0.219,0.187
0.606,0.212,0.182
0.600,0.215,0.185
0.606,0.212,0.182
0.597,0.209,0.194
0.606,0.212,0.182
0.606,0.212,0.182
0.603,0.206,0.190
0.594,0.219,0.187
0.597,0.210,0.194
0.597,0.210,0.194
0.597,0.210,0.194
0.597,0.210,0.194
0.597,0.210,0.194
0.600,0.217,0.183
0.597,0.210,0.194
0.597,0.210,0.194
0.607,0.213,0.180
0.597,0.210,0.194
0.600,0.217,0.183
0.593,0.220,0.186
0.593,0.220,0.186
0.600,0.217,0.183
0.603,0.207,0.190
0.600,0.217,0.183
0.590,0.213,0.197
0.593,0.220,0.186
0.603,0.207,0.190
0.593,0.220,0.186
0.603,0.207,0.190
0.596,0.211,0.193
