aX,aY,aZ,gX,gY,gZ
0.222,0.109,0.906,-9.033,2.869,4.822
0.213,0.126,0.898,-9.277,2.441,6.287
0.202,0.138,0.895,-8.484,1.709,6.714
0.198,0.138,0.912,-7.874,-0.366,6.836
0.188,0.144,0.949,-7.263,-3.235,5.371
0.174,0.161,0.980,-5.981,-5.432,3.540
0.166,0.163,1.015,-5.371,-6.470,2.930
0.164,0.172,1.042,-4.150,-6.409,2.502
0.174,0.184,1.049,-1.465,-4.211,2.380
0.179,0.201,1.069,0.122,0.549,3.723
0.186,0.192,1.071,1.038,6.165,5.615
0.178,0.198,1.050,-0.366,10.071,7.263
0.145,0.201,1.024,-3.601,10.681,7.507
0.130,0.187,1.006,-6.592,8.240,6.165
0.122,0.183,1.003,-8.423,4.578,2.869
0.135,0.180,1.005,-9.949,1.465,-0.122
0.145,0.173,1.008,-10.986,-0.549,-1.892
0.152,0.176,1.009,-11.169,-1.282,-2.014
0.161,0.189,1.002,-9.033,0.732,-2.014
0.178,0.193,0.997,-5.798,5.371,-1.526
0.178,0.195,1.001,-2.930,11.841,-0.183
0.169,0.192,1.007,-1.038,17.151,1.343
0.155,0.192,0.995,-0.916,18.616,1.709
0.129,0.179,0.974,-2.869,16.479,1.038
0.119,0.158,0.968,-4.211,12.451,-0.549
0.134,0.145,0.962,-4.700,8.545,-2.136
0.145,0.132,0.966,-5.310,5.005,-2.747
0.152,0.117,0.959,-5.554,2.319,-3.052
0.162,0.103,0.959,-4.395,0.977,-3.479

-0.009,1.619,1.044,18.921,41.504,-40.894
0.190,1.800,1.072,15.259,19.653,-61.218
0.381,1.902,1.121,9.705,-6.042,-82.214
0.570,1.984,1.188,8.423,-30.579,-98.877
0.742,2.132,1.258,13.428,-51.453,-105.896
0.888,2.321,1.358,22.034,-61.829,-102.051
1.028,2.613,1.441,33.081,-58.716,-88.806
1.133,2.861,1.444,48.889,-42.847,-70.740
1.143,2.980,1.513,56.091,-19.165,-49.438
1.023,2.996,1.607,50.415,-2.075,-26.367
0.719,3.004,1.689,33.936,8.667,0.183
0.282,2.931,1.731,11.963,19.409,31.006
-0.236,2.792,1.707,-16.602,34.058,61.707
-0.912,2.482,1.508,-57.190,54.016,81.421
-1.645,1.821,0.920,-112.000,80.444,80.139
-2.376,0.857,0.098,-159.058,109.802,53.955
-2.876,-0.503,-0.658,-161.987,133.545,7.629
-2.891,-2.335,-1.301,-125.183,131.531,-51.819
-2.492,-4.000,-1.842,-46.570,87.097,-131.531
-1.547,-4.000,-1.169,98.633,10.986,-244.995
-0.032,-4.000,0.128,257.263,-86.121,-367.737
1.627,-4.000,1.290,300.781,-217.407,-388.184
2.827,-4.000,3.004,238.342,-328.491,-296.570
3.121,-4.000,3.904,168.884,-324.890,-168.762
2.453,-3.979,3.363,92.163,-171.631,-28.442
1.098,-3.666,2.649,-16.602,55.420,93.018
-0.408,-3.114,1.715,-88.013,207.520,178.650
-1.361,-2.385,0.883,-97.900,243.103,217.041
-1.752,-1.609,0.281,-91.980,187.744,212.952
-1.798,-0.962,0.003,-97.046,88.806,192.200
-1.624,-0.585,-0.121,-103.333,5.249,170.898
-1.364,-0.397,-0.144,-97.412,-29.602,148.621
-1.002,-0.315,0.052,-80.688,-20.081,129.089
-0.771,-0.195,0.179,-60.669,-4.456,122.375
-0.600,0.048,0.325,-46.936,-2.197,125.610
-0.609,0.392,0.465,-37.292,-2.991,125.122
-0.599,0.672,0.609,-26.001,-4.761,114.502
-0.558,0.868,0.760,-16.541,-11.841,94.360
-0.520,0.982,0.845,-9.338,-28.381,68.787
-0.434,0.991,0.932,-1.831,-45.410,45.715
-0.349,0.935,1.026,6.836,-56.030,27.344
-0.286,0.805,1.138,12.512,-55.542,12.695
-0.261,0.607,1.249,16.785,-46.570,0.366
-0.194,0.411,1.343,20.691,-35.095,-6.775
-0.080,0.227,1.400,20.813,-24.048,-11.108
0.060,0.062,1.454,16.235,-14.526,-12.573
0.221,-0.094,1.507,10.559,-6.897,-11.597
0.388,-0.205,1.508,5.066,0.061,-9.155
0.485,-0.282,1.444,-0.488,8.301,-4.395
0.534,-0.327,1.367,-3.845,18.250,-0.183
0.556,-0.331,1.244,-6.470,24.963,4.150
0.544,-0.317,1.115,-9.155,26.245,9.277
0.493,-0.251,1.031,-10.559,24.597,15.381
0.427,-0.184,0.964,-11.719,21.851,22.522
0.342,-0.127,0.907,-13.062,19.958,26.917
0.248,-0.085,0.867,-12.146,18.494,29.419
0.182,-0.047,0.874,-8.789,15.320,30.396
0.137,-0.019,0.897,-5.859,9.827,29.114
0.107,0.002,0.941,-5.127,3.113,26.794
0.078,0.024,0.969,-6.104,-2.991,24.902
0.046,0.051,0.991,-6.287,-7.141,23.132
0.030,0.067,1.024,-6.042,-7.568,22.156
0.018,0.078,1.039,-6.042,-5.676,21.667
0.003,0.093,1.043,-5.249,-3.296,20.874
-0.002,0.091,1.053,-4.883,-0.549,19.592
-0.000,0.093,1.053,-5.371,1.099,18.433
-0.009,0.101,1.058,-6.409,1.709,16.907
-0.002,0.100,1.062,-7.874,2.075,15.564
0.001,0.095,1.052,-9.155,0.732,13.794
0.022,0.076,1.075,-9.277,-1.282,12.146
0.058,0.057,1.124,-9.033,-2.686,12.329
0.072,0.031,1.155,-9.705,-3.235,12.756
0.098,0.023,1.161,-11.719,-2.625,12.329
0.113,0.008,1.140,-13.855,-1.648,13.672
0.112,0.005,1.130,-14.038,-0.183,16.602
0.113,0.015,1.118,-14.099,0.732,18.921
0.089,0.009,1.077,-15.564,0.549,21.057
0.067,0.015,1.045,-15.076,0.000,20.630
0.054,0.012,1.037,-12.573,-0.549,18.311
0.059,-0.002,1.044,-11.658,-3.906,15.686
0.058,-0.000,1.031,-13.611,-9.888,12.878
0.053,0.003,1.016,-14.771,-14.404,10.620
0.055,-0.006,1.011,-15.137,-15.564,9.583
0.048,-0.001,1.010,-14.099,-13.855,9.644
0.051,-0.000,1.002,-12.329,-9.338,11.169
0.048,0.005,1.002,-11.108,-4.395,13.550
0.032,0.010,0.996,-10.254,0.488,15.564
0.022,0.030,0.986,-8.606,5.371,16.235
0.012,0.048,0.975,-6.897,8.972,15.930
0.000,0.048,0.974,-5.310,10.437,14.465
-0.002,0.057,0.981,-4.700,8.362,11.719
0.007,0.054,0.982,-5.066,3.784,8.606
0.014,0.056,0.986,-6.165,-1.770,5.981
0.017,0.054,1.001,-5.676,-4.333,4.822
0.029,0.055,1.027,-4.456,-3.479,4.395
0.040,0.058,1.052,-3.906,-0.610,4.211
0.053,0.052,1.065,-4.639,3.174,5.920
0.051,0.059,1.073,-5.859,6.836,8.911
0.047,0.057,1.065,-6.226,9.827,10.376
0.046,0.047,1.060,-6.165,12.756,10.254
0.060,0.049,1.045,-5.371,13.550,9.888
0.054,0.056,1.039,-4.639,12.268,9.705
0.046,0.073,1.039,-4.089,10.803,8.301
0.049,0.082,1.038,-3.174,9.583,5.798
0.054,0.086,1.043,-3.052,7.751,3.723
0.056,0.089,1.052,-3.967,5.493,3.113
0.051,0.086,1.058,-5.310,4.211,2.380
0.054,0.068,1.058,-6.348,4.333,1.160
0.057,0.057,1.048,-6.104,3.967,0.061
0.057,0.052,1.051,-4.822,3.113,-0.061
0.048,0.060,1.055,-3.540,2.563,-0.671
0.053,0.052,1.061,-2.014,3.296,-1.526
0.054,0.052,1.064,-1.160,3.723,-1.892
0.051,0.058,1.061,-0.854,3.235,-1.709
0.054,0.063,1.062,-0.793,1.892,-1.770
0.052,0.071,1.060,-1.953,0.610,-2.014
0.054,0.069,1.061,-3.052,-0.610,-2.136
0.057,0.068,1.060,-4.822,-0.854,-2.075
0.054,0.067,1.048,-5.920,-0.610,-1.709

0.418,1.720,1.541,28.931,-33.752,-14.160
0.517,2.053,1.752,35.034,-41.565,-20.630
0.524,2.332,1.918,38.147,-42.908,-30.762
0.533,2.500,1.978,36.682,-37.354,-42.114
0.620,2.646,1.946,26.855,-24.597,-52.551
0.686,2.788,1.825,9.644,-11.108,-54.993
0.639,2.978,1.704,-8.606,-2.441,-42.358
0.590,3.144,1.495,-18.616,9.460,-17.822
0.250,3.300,1.430,-45.288,23.987,14.099
-0.161,3.238,1.298,-69.580,39.795,50.354
-0.678,3.053,1.103,-94.543,60.608,77.148
-1.399,2.633,0.784,-120.667,80.933,86.365
-2.112,2.034,0.382,-130.249,97.961,71.411
-2.575,1.264,0.056,-123.596,105.408,25.696
-2.875,0.308,-0.303,-119.385,94.971,-41.443
-3.007,-1.101,-0.921,-111.267,67.261,-128.357
-2.857,-3.192,-1.454,-66.650,24.658,-245.728
-2.060,-4.000,-1.213,59.204,-32.043,-374.878
-0.965,-4.000,0.041,225.464,-112.732,-477.722
0.029,-4.000,1.202,332.764,-209.900,-495.483
1.282,-4.000,2.047,302.307,-290.527,-409.180
1.726,-4.000,2.907,222.717,-314.148,-292.542
1.638,-3.658,2.990,172.668,-214.539,-178.467
1.546,-2.822,2.570,130.737,-28.809,-88.623
1.108,-2.391,1.992,64.514,121.887,-18.677
