aX,aY,aZ,gX,gY,gZ
0.278,0.837,0.330,-23.682,34.912,3.052
0.290,0.858,0.407,-18.799,29.541,1.038
0.311,0.860,0.505,-18.311,21.790,-1.221
0.329,0.862,0.600,-18.555,13.489,-2.136
0.341,0.860,0.685,-18.738,5.188,-2.197
0.360,0.863,0.771,-20.935,-0.244,-2.319
0.384,0.851,0.831,-25.208,-3.662,-2.319
0.409,0.845,0.854,-32.227,-3.723,-1.465
0.410,0.835,0.863,-38.635,1.953,-0.183
0.397,0.820,0.858,-41.870,11.841,0.000
0.390,0.806,0.846,-43.579,20.874,0.305
0.377,0.803,0.829,-46.631,25.635,0.671
0.357,0.789,0.798,-52.246,25.696,1.038
0.332,0.772,0.759,-59.204,21.912,1.892
0.303,0.758,0.704,-66.040,14.282,3.357
0.279,0.749,0.641,-71.594,5.981,3.235
0.269,0.738,0.593,-75.500,1.038,2.136
0.262,0.732,0.551,-77.148,0.854,0.916
0.260,0.731,0.518,-76.355,5.493,-0.671
0.272,0.732,0.495,-75.256,11.963,-1.892
0.272,0.738,0.461,-75.806,15.869,-2.136
0.271,0.739,0.435,-77.148,17.883,-2.197
0.295,0.740,0.434,-76.965,19.409,-2.502
0.318,0.744,0.431,-76.538,20.264,-2.686
0.323,0.749,0.418,-77.515,20.874,-2.075
0.311,0.755,0.387,-79.834,19.775,-0.488
0.310,0.758,0.363,-81.848,15.015,0.793
0.314,0.769,0.348,-83.801,9.644,1.099
0.313,0.777,0.331,-85.693,6.409,2.014
0.324,0.774,0.323,-86.792,6.958,2.686
0.330,0.776,0.304,-87.402,11.108,3.845
0.316,0.786,0.278,-86.365,18.494,5.005
0.303,0.790,0.245,-84.473,26.794,5.310
0.297,0.791,0.207,-82.947,31.433,5.066
0.285,0.792,0.177,-83.069,32.227,4.944
0.274,0.797,0.144,-84.045,29.358,5.371
0.271,0.804,0.118,-85.632,23.132,6.042
0.276,0.806,0.100,-88.135,16.541,5.737
0.291,0.810,0.082,-89.172,13.794,4.456
0.297,0.808,0.057,-87.585,17.151,3.113
0.304,0.806,0.043,-84.839,24.292,2.075
0.301,0.810,0.020,-82.153,30.334,1.099
0.291,0.810,-0.003,-80.566,34.424,0.671
0.290,0.811,-0.042,-80.505,34.241,0.916
0.280,0.813,-0.072,-81.360,29.236,1.038
0.270,0.820,-0.087,-81.848,21.912,0.122
0.277,0.820,-0.097,-81.360,14.221,-0.916
0.292,0.823,-0.110,-82.214,5.981,-0.366
0.294,0.829,-0.138,-84.473,-1.831,0.488
0.296,0.831,-0.167,-85.571,-4.883,-0.488
0.321,0.822,-0.189,-82.397,0.061,-2.075
0.334,0.821,-0.216,-76.721,10.925,-2.869
0.329,0.825,-0.229,-70.618,24.109,-3.784
0.329,0.826,-0.246,-66.284,32.410,-4.150
0.327,0.832,-0.267,-64.819,34.668,-4.028
0.333,0.830,-0.279,-64.636,34.363,-3.601
0.344,0.833,-0.294,-63.965,32.654,-2.502
0.333,0.837,-0.319,-63.660,28.748,-1.465
0.328,0.845,-0.316,-62.744,24.780,-1.343
0.330,0.852,-0.310,-60.425,21.423,-1.892
0.342,0.849,-0.302,-58.350,16.785,-2.319
0.354,0.846,-0.297,-57.678,14.404,-2.258
0.351,0.845,-0.305,-57.251,16.174,-2.075
0.340,0.840,-0.303,-54.504,22.339,-1.709
0.337,0.836,-0.290,-50.293,30.884,-1.770
0.335,0.838,-0.300,-48.096,35.522,-0.488
0.310,0.843,-0.320,-50.110,33.203,1.953
0.284,0.843,-0.325,-52.490,27.344,2.502
0.282,0.838,-0.330,-52.063,20.386,0.732
0.295,0.828,-0.329,-51.575,13.977,-0.732
