aX,aY,aZ,gX,gY,gZ
-0.330,-0.098,0.960,-5.798,-3.357,-1.892
-0.312,-0.094,0.972,-2.319,0.977,-1.221
-0.304,-0.086,0.983,-0.183,5.066,1.221
-0.294,-0.076,0.971,-0.671,7.324,3.113
-0.295,-0.074,0.954,-3.601,7.141,4.883
-0.303,-0.072,0.936,-7.507,5.066,7.324
-0.308,-0.073,0.921,-9.155,2.197,9.033
-0.317,-0.064,0.927,-9.827,-0.427,10.132
-0.333,-0.048,0.935,-9.399,-1.892,10.864
-0.340,-0.039,0.932,-8.240,-1.953,10.376
-0.350,-0.028,0.923,-6.714,-1.404,9.460
-0.360,-0.012,0.913,-4.456,-0.977,9.338
-0.365,0.001,0.913,-1.099,0.427,9.705
-0.370,0.012,0.918,1.709,3.723,9.644
-0.377,0.013,0.932,3.601,8.118,9.705
-0.374,0.012,0.946,4.211,10.864,9.766
-0.376,0.008,0.958,3.296,11.414,9.583
-0.386,0.007,0.970,1.099,10.132,9.094
-0.387,0.004,0.977,-0.916,8.789,8.301
-0.385,-0.000,0.967,-3.540,6.775,6.775
-0.384,-0.004,0.954,-5.005,4.578,5.432
-0.384,-0.016,0.943,-5.188,3.357,4.639
-0.387,-0.010,0.934,-3.174,3.479,3.479
-0.387,-0.020,0.935,0.122,4.089,1.770
-0.379,-0.021,0.950,1.953,3.662,0.427
-0.375,-0.023,0.967,3.235,2.380,-0.610
-0.366,-0.030,0.985,4.028,1.709,-0.854
-0.358,-0.032,1.004,4.333,2.563,-0.549
-0.356,-0.039,1.018,4.028,4.700,0.427
-0.355,-0.050,1.019,2.808,6.958,1.038
-0.350,-0.059,1.025,1.831,9.338,1.709
-0.354,-0.073,1.031,1.038,10.071,1.770
-0.353,-0.083,1.032,-0.732,8.972,2.258
-0.351,-0.087,1.034,-1.892,7.080,2.441
-0.355,-0.083,1.033,-1.526,6.775,2.441
-0.350,-0.076,1.021,-0.305,8.118,1.221
-0.337,-0.078,1.011,1.099,8.789,0.366
-0.333,-0.076,1.011,1.465,7.935,0.610
-0.328,-0.067,1.015,1.526,7.080,1.221
-0.324,-0.062,1.021,0.793,6.653,1.709
-0.316,-0.056,1.016,-1.282,6.104,2.380
-0.315,-0.054,1.007,-3.723,5.066,3.479
-0.318,-0.050,0.996,-5.676,4.517,4.944
-0.322,-0.051,0.981,-6.042,5.493,6.226

-0.393,-0.308,-1.582,-109.985,-996.155,76.843
-0.142,-0.388,-1.488,-134.888,-1202.820,158.813
-0.124,-0.383,-1.379,-160.828,-1400.208,263.672
-0.340,-0.315,-1.248,-184.326,-1534.363,379.700
-0.495,-0.199,-1.037,-194.824,-1583.557,478.943
-0.719,0.159,-1.149,-182.495,-1578.125,528.015
-1.026,0.550,-1.206,-134.888,-1524.048,514.465
-1.175,0.741,-1.060,-43.335,-1422.791,435.669
-1.334,0.627,-0.447,84.412,-1275.085,296.143
-1.256,0.489,0.447,200.806,-1090.515,148.437
-0.762,0.367,1.208,260.376,-872.009,36.926
-0.300,0.199,1.676,269.775,-634.460,-32.288
0.188,0.220,2.017,245.789,-411.438,-45.105
0.450,0.282,2.040,199.829,-235.107,7.507
0.290,0.346,1.667,138.367,-116.577,89.294
-0.128,0.355,1.226,82.336,-33.936,146.729
-0.463,0.362,0.859,69.214,28.748,160.339
-0.571,0.340,0.731,108.643,67.871,141.174
-0.535,0.338,0.832,149.719,66.162,108.276
-0.401,0.325,1.013,159.485,21.118,76.050
-0.277,0.287,1.177,137.390,-47.607,53.345
-0.122,0.194,1.232,102.905,-112.671,34.546
0.026,0.093,1.204,72.876,-152.344,16.846
0.172,0.020,1.186,55.176,-160.339,8.606
0.270,-0.031,1.132,46.936,-146.118,11.230
0.277,-0.069,1.094,41.260,-127.686,20.203
0.222,-0.094,1.000,42.908,-114.624,31.677
0.145,-0.100,0.900,48.767,-110.107,38.513
0.066,-0.082,0.851,56.458,-114.868,38.269
-0.016,-0.052,0.865,61.279,-125.732,33.936
-0.105,-0.025,0.902,63.660,-134.949,29.053
-0.168,-0.003,0.995,65.002,-134.827,22.705
-0.212,-0.001,1.052,65.186,-128.540,13.794
